alpha,penalty,loss,l1_ratio,warm_start,accuracy,precision,recall,f1,true-negative,false-negative,false-positive,true-positive
0.0001,l1,modified_huber,0.75,True,0.7052631578947368,0.8461538461538461,0.16923076923076924,0.28205128205128205,123,54,2,11
0.0001,l1,squared_hinge,0.15,False,0.6263157894736842,0.47580645161290325,0.9076923076923077,0.6243386243386243,60,6,65,59
0.0001,l1,squared_hinge,0.15,True,0.3736842105263158,0.3516483516483517,0.9846153846153847,0.5182186234817814,7,1,118,64
0.0001,l1,squared_hinge,0.3,False,0.6789473684210526,0.8333333333333334,0.07692307692307693,0.14084507042253522,124,60,1,5
0.0001,l1,squared_hinge,0.3,True,0.7526315789473684,0.640625,0.6307692307692307,0.6356589147286822,102,24,23,41
0.0001,l1,squared_hinge,0.45,False,0.7105263157894737,0.5555555555555556,0.7692307692307693,0.6451612903225806,85,15,40,50
0.0001,l1,squared_hinge,0.45,True,0.6578947368421053,0.5,0.015384615384615385,0.029850746268656723,124,64,1,1
0.0001,l1,squared_hinge,0.6,False,0.6578947368421053,0.0,0.0,0.0,125,65,0,0
0.0001,l1,squared_hinge,0.6,True,0.7263157894736842,0.8421052631578947,0.24615384615384617,0.38095238095238093,122,49,3,16
0.0001,l1,squared_hinge,0.75,False,0.7578947368421053,0.7209302325581395,0.47692307692307695,0.5740740740740741,113,34,12,31
0.0001,l1,squared_hinge,0.75,True,0.7315789473684211,0.5833333333333334,0.7538461538461538,0.6577181208053692,90,16,35,49
0.0001,l1,perceptron,0.15,False,0.7421052631578947,0.8333333333333334,0.3076923076923077,0.4494382022471911,121,45,4,20
0.0001,l1,perceptron,0.15,True,0.3894736842105263,0.3575418994413408,0.9846153846153847,0.5245901639344263,10,1,115,64
0.0001,l1,perceptron,0.3,False,0.7421052631578947,0.8076923076923077,0.3230769230769231,0.4615384615384616,120,44,5,21
0.0001,l1,perceptron,0.3,True,0.7526315789473684,0.6875,0.5076923076923077,0.584070796460177,110,32,15,33
0.0001,l1,perceptron,0.45,False,0.7157894736842105,0.8235294117647058,0.2153846153846154,0.3414634146341464,122,51,3,14
0.0001,l1,perceptron,0.45,True,0.6842105263157895,0.8571428571428571,0.09230769230769231,0.16666666666666666,124,59,1,6
0.0001,l1,perceptron,0.6,False,0.7526315789473684,0.6607142857142857,0.5692307692307692,0.6115702479338843,106,28,19,37
0.0001,l1,perceptron,0.6,True,0.7473684210526316,0.7428571428571429,0.4,0.52,116,39,9,26
0.0001,l1,perceptron,0.75,False,0.7526315789473684,0.65,0.6,0.624,104,26,21,39
